F:\car\IMG\center_2020_02_02_12_21_12_801.jpg, F:\car\IMG\left_2020_02_02_12_21_12_801.jpg, F:\car\IMG\right_2020_02_02_12_21_12_801.jpg,0,0,0,7.84E-05
F:\car\IMG\center_2020_02_02_12_21_12_943.jpg, F:\car\IMG\left_2020_02_02_12_21_12_943.jpg, F:\car\IMG\right_2020_02_02_12_21_12_943.jpg,0,0,0,7.80E-05
F:\car\IMG\center_2020_02_02_12_21_13_049.jpg, F:\car\IMG\left_2020_02_02_12_21_13_049.jpg, F:\car\IMG\right_2020_02_02_12_21_13_049.jpg,0,0,0,7.90E-05
F:\car\IMG\center_2020_02_02_12_21_13_156.jpg, F:\car\IMG\left_2020_02_02_12_21_13_156.jpg, F:\car\IMG\right_2020_02_02_12_21_13_156.jpg,0,0,0,7.83E-05
F:\car\IMG\center_2020_02_02_12_21_13_266.jpg, F:\car\IMG\left_2020_02_02_12_21_13_266.jpg, F:\car\IMG\right_2020_02_02_12_21_13_266.jpg,0,0,0,7.95E-05
F:\car\IMG\center_2020_02_02_12_21_13_395.jpg, F:\car\IMG\left_2020_02_02_12_21_13_395.jpg, F:\car\IMG\right_2020_02_02_12_21_13_395.jpg,0,0,0,7.88E-05
F:\car\IMG\center_2020_02_02_12_21_13_502.jpg, F:\car\IMG\left_2020_02_02_12_21_13_502.jpg, F:\car\IMG\right_2020_02_02_12_21_13_502.jpg,0,0,0,7.96E-05
F:\car\IMG\center_2020_02_02_12_21_13_606.jpg, F:\car\IMG\left_2020_02_02_12_21_13_606.jpg, F:\car\IMG\right_2020_02_02_12_21_13_606.jpg,0,0,0,7.94E-05
F:\car\IMG\center_2020_02_02_12_21_13_718.jpg, F:\car\IMG\left_2020_02_02_12_21_13_718.jpg, F:\car\IMG\right_2020_02_02_12_21_13_718.jpg,0,0,0,7.83E-05
F:\car\IMG\center_2020_02_02_12_21_13_844.jpg, F:\car\IMG\left_2020_02_02_12_21_13_844.jpg, F:\car\IMG\right_2020_02_02_12_21_13_844.jpg,0,0.3756267,0,0.4232314
F:\car\IMG\center_2020_02_02_12_21_13_953.jpg, F:\car\IMG\left_2020_02_02_12_21_13_953.jpg, F:\car\IMG\right_2020_02_02_12_21_13_953.jpg,0,0.7070337,0,1.328569
F:\car\IMG\center_2020_02_02_12_21_14_068.jpg, F:\car\IMG\left_2020_02_02_12_21_14_068.jpg, F:\car\IMG\right_2020_02_02_12_21_14_068.jpg,0,1,0,2.446512
F:\car\IMG\center_2020_02_02_12_21_14_178.jpg, F:\car\IMG\left_2020_02_02_12_21_14_178.jpg, F:\car\IMG\right_2020_02_02_12_21_14_178.jpg,0,1,0,3.852375
F:\car\IMG\center_2020_02_02_12_21_14_288.jpg, F:\car\IMG\left_2020_02_02_12_21_14_288.jpg, F:\car\IMG\right_2020_02_02_12_21_14_288.jpg,0,0.6680218,0,4.840199
F:\car\IMG\center_2020_02_02_12_21_14_397.jpg, F:\car\IMG\left_2020_02_02_12_21_14_397.jpg, F:\car\IMG\right_2020_02_02_12_21_14_397.jpg,0,0.3417832,0,5.264038
F:\car\IMG\center_2020_02_02_12_21_14_509.jpg, F:\car\IMG\left_2020_02_02_12_21_14_509.jpg, F:\car\IMG\right_2020_02_02_12_21_14_509.jpg,0,0.004652511,0,5.271837
F:\car\IMG\center_2020_02_02_12_21_14_619.jpg, F:\car\IMG\left_2020_02_02_12_21_14_619.jpg, F:\car\IMG\right_2020_02_02_12_21_14_619.jpg,-0.3282219,0,0,5.188235
F:\car\IMG\center_2020_02_02_12_21_14_721.jpg, F:\car\IMG\left_2020_02_02_12_21_14_721.jpg, F:\car\IMG\right_2020_02_02_12_21_14_721.jpg,-0.5986421,0,0,5.077266
F:\car\IMG\center_2020_02_02_12_21_14_823.jpg, F:\car\IMG\left_2020_02_02_12_21_14_823.jpg, F:\car\IMG\right_2020_02_02_12_21_14_823.jpg,-0.3707969,0,0,5.035629
F:\car\IMG\center_2020_02_02_12_21_14_933.jpg, F:\car\IMG\left_2020_02_02_12_21_14_933.jpg, F:\car\IMG\right_2020_02_02_12_21_14_933.jpg,-0.007661629,0,0,4.965781
F:\car\IMG\center_2020_02_02_12_21_15_040.jpg, F:\car\IMG\left_2020_02_02_12_21_15_040.jpg, F:\car\IMG\right_2020_02_02_12_21_15_040.jpg,0,0,0,4.915257
F:\car\IMG\center_2020_02_02_12_21_15_145.jpg, F:\car\IMG\left_2020_02_02_12_21_15_145.jpg, F:\car\IMG\right_2020_02_02_12_21_15_145.jpg,0,0,0,4.856124
F:\car\IMG\center_2020_02_02_12_21_15_252.jpg, F:\car\IMG\left_2020_02_02_12_21_15_252.jpg, F:\car\IMG\right_2020_02_02_12_21_15_252.jpg,-0.0661848,0,0,4.806721
F:\car\IMG\center_2020_02_02_12_21_15_359.jpg, F:\car\IMG\left_2020_02_02_12_21_15_359.jpg, F:\car\IMG\right_2020_02_02_12_21_15_359.jpg,-0.3588003,0,0,4.726281
F:\car\IMG\center_2020_02_02_12_21_15_461.jpg, F:\car\IMG\left_2020_02_02_12_21_15_461.jpg, F:\car\IMG\right_2020_02_02_12_21_15_461.jpg,-0.6559239,0,0,4.61568
F:\car\IMG\center_2020_02_02_12_21_15_562.jpg, F:\car\IMG\left_2020_02_02_12_21_15_562.jpg, F:\car\IMG\right_2020_02_02_12_21_15_562.jpg,-0.4338603,0,0,4.579645
F:\car\IMG\center_2020_02_02_12_21_15_671.jpg, F:\car\IMG\left_2020_02_02_12_21_15_671.jpg, F:\car\IMG\right_2020_02_02_12_21_15_671.jpg,-0.06852061,0,0,4.520569
F:\car\IMG\center_2020_02_02_12_21_15_782.jpg, F:\car\IMG\left_2020_02_02_12_21_15_782.jpg, F:\car\IMG\right_2020_02_02_12_21_15_782.jpg,-0.364752,0,0,4.456671
F:\car\IMG\center_2020_02_02_12_21_15_891.jpg, F:\car\IMG\left_2020_02_02_12_21_15_891.jpg, F:\car\IMG\right_2020_02_02_12_21_15_891.jpg,-0.07634039,0,0,4.404192
F:\car\IMG\center_2020_02_02_12_21_15_992.jpg, F:\car\IMG\left_2020_02_02_12_21_15_992.jpg, F:\car\IMG\right_2020_02_02_12_21_15_992.jpg,-0.367725,0,0,4.341352
F:\car\IMG\center_2020_02_02_12_21_16_097.jpg, F:\car\IMG\left_2020_02_02_12_21_16_097.jpg, F:\car\IMG\right_2020_02_02_12_21_16_097.jpg,-0.6721395,0,0,4.258349
F:\car\IMG\center_2020_02_02_12_21_16_203.jpg, F:\car\IMG\left_2020_02_02_12_21_16_203.jpg, F:\car\IMG\right_2020_02_02_12_21_16_203.jpg,-0.9682444,0,0,4.143249
F:\car\IMG\center_2020_02_02_12_21_16_311.jpg, F:\car\IMG\left_2020_02_02_12_21_16_311.jpg, F:\car\IMG\right_2020_02_02_12_21_16_311.jpg,-0.8870437,0,0,4.062325
F:\car\IMG\center_2020_02_02_12_21_16_454.jpg, F:\car\IMG\left_2020_02_02_12_21_16_454.jpg, F:\car\IMG\right_2020_02_02_12_21_16_454.jpg,-0.469942,0,0,4.014753
F:\car\IMG\center_2020_02_02_12_21_16_557.jpg, F:\car\IMG\left_2020_02_02_12_21_16_557.jpg, F:\car\IMG\right_2020_02_02_12_21_16_557.jpg,-0.7928509,0,0,3.926174
F:\car\IMG\center_2020_02_02_12_21_16_660.jpg, F:\car\IMG\left_2020_02_02_12_21_16_660.jpg, F:\car\IMG\right_2020_02_02_12_21_16_660.jpg,-1,0,0,3.820047
F:\car\IMG\center_2020_02_02_12_21_16_765.jpg, F:\car\IMG\left_2020_02_02_12_21_16_765.jpg, F:\car\IMG\right_2020_02_02_12_21_16_765.jpg,-1,0,0,3.748689
F:\car\IMG\center_2020_02_02_12_21_16_871.jpg, F:\car\IMG\left_2020_02_02_12_21_16_871.jpg, F:\car\IMG\right_2020_02_02_12_21_16_871.jpg,-0.6831124,0,0,3.727845
